LATITUDE,LONGITUDE,ACQ_DATE
60.285469,22.290483,2012-07-06
62.714542,22.715321,2012-07-07
64.653488,24.427774,2012-07-07
64.656029,24.42952,2012-07-12
64.64592,24.427937,2012-07-12
60.285618,22.291807,2012-07-13
60.288063,22.289621,2012-07-14
64.65303,24.430971,2012-07-14
64.653168,24.433241,2012-07-14
64.649673,24.422432,2012-07-14
64.650162,24.435623,2012-07-14
64.643059,24.423794,2012-07-14
60.287998,22.281555,2012-07-14
64.653404,24.431097,2012-07-15
64.646896,24.42621,2012-07-15
64.653664,24.436255,2012-07-15
64.651733,24.431015,2012-07-15
64.652649,24.433037,2012-07-15
64.6521,24.434378,2012-07-16
64.648499,24.432329,2012-07-16
64.644897,24.4303,2012-07-16
64.655502,24.433868,2012-07-16
64.654167,24.426199,2012-07-16
64.652901,24.432226,2012-07-16
64.652573,24.430393,2012-07-17
64.648438,24.428766,2012-07-17
64.647827,24.437527,2012-07-17
64.644295,24.427168,2012-07-17
60.288761,22.290905,2012-07-17
64.652054,24.43185,2012-07-17
64.654007,24.43648,2012-07-17
65.485619,27.112867,2012-07-17
64.655846,24.429409,2012-07-17
64.651039,24.428362,2012-07-17
64.646225,24.427334,2012-07-17
60.28598,22.291487,2012-07-17
60.285183,22.291876,2012-07-18
64.653702,24.43446,2012-07-18
60.285149,22.285114,2012-07-18
62.83065,22.929037,2012-07-19
61.317738,22.114811,2012-07-19
60.286755,22.290339,2012-07-19
60.284805,22.2897,2012-07-19
60.288338,22.292131,2012-07-20
60.285133,22.290081,2012-07-20
64.651947,24.434929,2012-07-20
64.645393,24.422733,2012-07-21
61.129204,28.452791,2012-07-21
60.235378,24.872988,2012-07-21
60.287109,22.291977,2012-07-21
64.646568,24.426916,2012-07-22
60.295666,25.490826,2012-07-22
60.28706,22.285694,2012-07-22
60.190079,24.90435,2012-07-22
64.646049,24.424711,2012-07-22
63.523758,24.063307,2012-07-24
64.646759,24.429239,2012-07-24
64.652168,24.421989,2012-07-25
64.647789,24.426903,2012-07-25
64.646553,24.434574,2012-07-25
64.644638,24.424141,2012-07-25
64.643402,24.431812,2012-07-25
60.285839,22.288366,2012-07-25
64.649567,24.433544,2012-07-26
64.64901,24.426991,2012-07-26
64.647934,24.435526,2012-07-26
64.64566,24.424694,2012-07-26
64.472038,25.637358,2012-07-26
64.644875,24.42494,2012-07-26
64.648155,24.42452,2012-07-27
64.647163,24.435282,2012-07-27
61.128757,28.453537,2012-07-27
60.286091,22.290653,2012-07-27
60.287025,22.287273,2012-07-27
60.29755,25.525444,2012-07-27
64.644447,24.424576,2012-07-27
64.64637,24.426643,2012-07-28
61.128513,28.454988,2012-07-28
60.28751,22.294497,2012-07-28
60.286999,22.293507,2012-07-28
61.131001,28.45488,2012-07-28
64.645729,24.430222,2012-07-29
61.147728,23.193541,2012-07-29
61.151134,23.190561,2012-07-29
60.311996,25.530876,2012-07-29
64.648941,24.428923,2012-07-29
64.655991,24.43606,2012-07-30
64.646629,24.4272,2012-07-30
60.224102,24.625328,2012-07-31
61.942509,28.152298,2012-07-31
64.647827,24.424679,2012-08-01
61.030056,28.177101,2012-08-01
60.286003,22.289728,2012-08-01
60.286144,22.295197,2012-08-01
67.985855,27.902748,2012-08-01
62.413879,22.058771,2012-08-01
62.413769,22.051552,2012-08-01
60.287334,22.290136,2012-08-02
60.286644,22.292622,2012-08-02
64.647003,24.429407,2012-08-02
64.647705,24.424549,2012-08-02
60.286903,22.293177,2012-08-02
60.28812,22.288963,2012-08-02
60.982414,22.986929,2012-08-04
60.288544,22.28376,2012-08-04
60.288761,22.290413,2012-08-04
61.028122,28.17329,2012-08-05
61.321377,22.122215,2012-08-05
60.286404,22.292168,2012-08-05
67.49987,28.857098,2012-08-05
67.501015,28.861572,2012-08-05
67.498596,28.856764,2012-08-05
64.646675,24.430374,2012-08-06
64.643211,24.428217,2012-08-06
61.12904,28.454256,2012-08-06
61.0313,28.173065,2012-08-06
60.28672,22.288946,2012-08-06
60.721466,24.402189,2012-08-06
64.643425,24.426634,2012-08-06
64.648422,24.416716,2012-08-07
64.647476,24.428526,2012-08-07
64.643532,24.42679,2012-08-07
60.294525,25.487162,2012-08-07
60.285652,22.293869,2012-08-07
60.287117,22.287231,2012-08-08
60.287579,22.290262,2012-08-10
64.647644,24.423994,2012-08-11
64.646568,24.43252,2012-08-11
63.723228,25.651602,2012-08-11
60.933475,27.652491,2012-08-12
64.649239,24.43075,2012-08-13
64.644882,24.429323,2012-08-13
60.286201,22.287069,2012-08-13
64.653099,24.43605,2012-08-13
64.649742,24.431438,2012-08-13
64.646385,24.426804,2012-08-13
60.287189,22.293406,2012-08-13
64.64608,24.422443,2012-08-13
64.647491,24.42444,2012-08-13
60.620968,22.062794,2012-08-13
64.646812,24.424948,2012-08-14
64.646286,24.426395,2012-08-14
61.315983,22.115019,2012-08-14
67.63636,29.025681,2012-08-14
67.633278,29.035486,2012-08-14
67.631546,29.026846,2012-08-14
67.634605,29.022648,2012-08-14
67.639397,29.027071,2012-08-14
67.637672,29.018452,2012-08-14
64.64563,24.421139,2012-08-14
64.645683,24.43054,2012-08-14
64.655663,24.432667,2012-08-15
64.646309,24.423813,2012-08-15
64.650642,24.417145,2012-08-16
64.646271,24.422804,2012-08-16
61.030949,28.171383,2012-08-16
67.293343,24.508533,2012-08-16
60.299778,25.524914,2012-08-16
66.291206,26.659554,2012-08-16
66.294655,26.657112,2012-08-16
66.293556,26.647476,2012-08-16
66.292854,26.659687,2012-08-16
66.291779,26.650032,2012-08-16
66.295219,26.64756,2012-08-16
67.232613,28.657118,2012-08-16
67.911362,25.142305,2012-08-16
64.644943,24.423187,2012-08-17
61.317421,22.108656,2012-08-17
64.653885,24.435158,2012-08-17
64.65023,24.428915,2012-08-17
64.646591,24.422642,2012-08-17
66.566551,24.89875,2012-08-17
64.645798,24.429129,2012-08-17
66.565826,24.902674,2012-08-17
66.568954,24.89959,2012-08-17
66.567665,24.891365,2012-08-17
64.653748,24.433374,2012-08-18
64.65403,24.428493,2012-08-18
64.64576,24.42527,2012-08-18
61.128231,28.453756,2012-08-18
60.300358,25.52059,2012-08-18
60.298214,25.52375,2012-08-18
60.288979,22.292812,2012-08-18
60.284779,22.291611,2012-08-18
64.654991,24.432817,2012-08-18
64.651566,24.427832,2012-08-18
64.64814,24.422831,2012-08-18
64.645348,24.433178,2012-08-18
64.645729,24.425167,2012-08-18
60.285034,22.29018,2012-08-18
60.322235,23.125553,2012-08-18
64.651855,24.429152,2012-08-19
64.654625,24.437336,2012-08-20
64.645271,24.427847,2012-08-20
64.641891,24.406116,2012-08-20
64.638779,24.402956,2012-08-20
64.655968,24.433756,2012-08-20
64.644577,24.42589,2012-08-20
64.645172,24.429495,2012-08-21
62.703014,29.919889,2012-08-21
61.028179,28.176035,2012-08-21
64.656311,24.433609,2012-08-21
64.644356,24.427954,2012-08-21
60.29837,25.524731,2012-08-21
60.295303,25.528559,2012-08-21
60.299007,25.520437,2012-08-21
60.298206,25.523455,2012-08-21
64.646599,24.426128,2012-08-23
62.538303,25.201962,2012-08-23
60.286583,22.289152,2012-08-24
64.645927,24.427498,2012-08-24
60.284855,22.287382,2012-08-24
64.643745,24.424402,2012-08-25
64.644234,24.428127,2012-08-25
64.646599,24.427412,2012-08-25
60.290272,22.289179,2012-08-25
60.285332,22.287376,2012-08-25
60.313343,25.527403,2012-08-25
64.649605,24.422419,2012-08-26
64.645233,24.427324,2012-08-26
60.285099,22.292101,2012-08-26
64.650093,24.435152,2012-08-26
64.646164,24.426439,2012-08-26
64.652809,24.435438,2012-08-26
60.284744,22.291246,2012-08-26
64.644012,24.428356,2012-08-26
64.646812,24.425463,2012-08-28
64.644958,24.430294,2012-08-28
61.03072,28.175108,2012-08-28
